title,authors,venue,publication_date,doi,arxiv_id,url,sources,score,matched_keywords,abstract
A Scalable 1024-Channel VCO-Based CTDSM MEA Readout IC Achieving High Yield and Reliability Through Slot-Partitioned Channel Redundancy,Hyeok-Ki Hong; Joonseong Kang; Byungsu Jung; Nahmil Koo; S. Kim; Hankyu Lee; Dong-Jin Chang; Mikyung Kim; Junyeub Suh; Jonghan Kim; Takhyung Lee; A. Ju; Jaechun Lee; Chang-Woo Shin; Kitae Park; Chisung Bae,IEEE Journal of Solid-State Circuits,2026-10-01,10.1109/jssc.2026.3706754,,https://www.semanticscholar.org/paper/536d8e01a9fdfc0f4f2baa353cafc58e00c63864,Semantic Scholar,34,bioelectronic; bioelectronic interface; neural interface; neural interfaces; neural recording,"Large-scale neural recording systems for in vitro bioelectronic interfaces require ultra-low noise, scalability to thousand-channel arrays, and long-term reliability to avoid chip replacement during biological experiments. This article presents a 1024-channel neural readout integrated circuit (IC) capable of both extracellular and intracellular recordings, based on a voltage-controlled oscillator (VCO)-based continuous-time delta–sigma modulator (CTDSM) architecture. A slot-level channel replacement scheme is incorporated to improve system-level robustness against degraded or faulty analog front-end (AFE) channels, with potential benefit for manufacturing tolerance and long-term operation in large-scale microelectrode array (MEA) systems. Each slot integrates 32 regular channels and four spare channels, enabling faulty or degraded channels to be detected and replaced at the slot level, thereby relaxing the stringent single-channel yield requirements of large-scale neural interfaces. Fabricated in a 28-nm CMOS FDSOI process, the proposed IC achieves input-referred noise (IRN) of $8.06~\mu $ Vrms in the local field potential (LFP) band (0.5 Hz–1 kHz) and $5.34~\mu $ Vrms in the action potential (AP) band (300 Hz–10 kHz). After channel replacement, the measured SNDR and THD are 56.36 dB and 0.074%, respectively, with a total chip power consumption of 82.4 mW. In vitro experiments with cultured neurons validate stable multi-channel neural recording over several weeks."
A Single-Transducer Ultrasound System for Concurrent Power Harvesting and Adaptive Backscatter Communication in Bio-Implants,Conghao Gao; Wei-Ran Chen; Zhenghao Li; Yiqing Lan; Chenyuan Zhang; Yida Li; Yi-Peng Lu; Longyang Lin; Jia-Min Li,IEEE Journal of Solid-State Circuits,2026-10-01,10.1109/jssc.2026.3690876,,https://www.semanticscholar.org/paper/907345120ba80e7a0714b64e066209d8ab51ab2a,Semantic Scholar,6,bioelectronic,"Bioelectronic implants have enabled precise and closed-loop interfacing with biological systems to diagnose, monitor, and treat disorders. A critical challenge for these chronically implanted systems is the design of a robust, real-time wireless data uplink and a continuous, efficient wireless power delivery link within a severely constrained form factor. Ultrasound, thanks to its advantageous path loss and safety limit, has become a promising medium. However, conventional ultrasound power and communication approaches either employ two separate transducers, resulting in a larger form factor or utilize pulse-echo backscatter with a single transducer, which suffers from time-multiplexed uplink transmission, limited data rate, and inefficient power delivery. This work introduces a single-transducer architecture that enables concurrent ultrasound power delivery and backscatter-based data communication, based on a unified impedance-based operating region that allows efficient downlink power harvesting and reliable uplink backscatter modulation simultaneously. The proposed single-stage power regulator modulates its input impedance via inductor charging-time control for data transmission while remaining decoupled from load variations, ensuring uninterrupted energy harvesting. The system further implements channel-adaptive modulation (BPSK, APSK, 4-ASK) to dynamically optimize the trade-off between data rate, reliability, and power delivery. Fabricated in 180 nm CMOS with a 0.28 mm2 core area and validated in oil at 5 cm depth with a 1 MHz acoustic wave, the system enables real-time data transmission and the highest spectral efficiency of 300 kbps/MHz with a bit error rate (BER) below $10{^{-6}}$ while achieving $192~{\mu }$ W of continuous power delivery."
